id,status,pillar,topic,angle,structure,objective,duration_target,created,published_date,platform,title
TEST-0001,review,ai-human,ai-dependency,paradox,paradox-insight,authority,60,2026-08-20,,,"[SMOKE TEST — không tính production] Cái nguy hiểm không phải AI trả lời sai"
CKAI-0001,approved,chanh-kien,bien-minh-ham-muon,buc-binh-phong,story-conflict-lesson,authority,60,2026-08-20,,,Bức bình phong
CKAI-0002,approved,ai-human,don-tai-lieu-thanh-markdown,mot-prompt-don-sach,practical-tool-walkthrough,education,60,2026-08-21,,,1 prompt dọn sạch tài liệu thành Markdown
CKAI-0003,published,chanh-kien,nhin-nhu-no-dang-la,goi-ten-soi-chi-chung,judge-rejudge-reveal,trust,60,2026-08-21,2026-08-22,"facebook, tiktok",Một câu hỏi đứng sau mọi thứ tôi từng chia sẻ
CKAI-0004,approved,ai-human,phan-biet-du-kien-suy-luan,bon-lop-kiem-chung,practical-tool-walkthrough,education,50,2026-08-24,,,Đừng hỏi AI nguyên nhân — hãy bắt nó tách phần biết và phần đoán
CKAI-0005,approved,ai-human,dung-khong-dong-nghia-voi-hieu,perfect-surface-hollow-core,paradox-insight,thought-leadership,53,2026-08-29,,,Đúng chưa chắc là hiểu
CKAI-0006,approved,ai-human,bat-ai-tu-phan-bien,first-answer-self-critique-better-answer,practical-tool-walkthrough,education,45,2026-08-29,,,Đừng chỉ hỏi A.I — hãy bắt nó tự phản biện
